case,ret,status,passed,failed,broken,skipped,warnings,all
tgkill02,0,passed,1,0,0,0,0,1
tgkill03,0,passed,6,0,0,0,0,6
tkill01,0,passed,2,0,0,0,0,2
tkill02,0,passed,2,0,0,0,0,2
execl01,0,passed,1,0,0,0,0,1
execl01_child,2,broken,0,0,1,0,0,1
execle01,0,passed,1,0,0,0,0,1
execle01_child,2,broken,0,0,1,0,0,1
execlp01,0,passed,1,0,0,0,0,1
execlp01_child,2,broken,0,0,1,0,0,1
execv01,0,passed,1,0,0,0,0,1
execv01_child,2,broken,0,0,1,0,0,1
execve01,0,passed,1,0,0,0,0,1
execve02,0,passed,1,0,0,0,0,1
execve03,0,passed,6,0,0,0,0,6
execve05,0,passed,8,0,0,0,0,8
execve06,0,passed,1,0,0,0,0,1
execveat01,0,passed,4,0,0,0,0,4
execveat02,0,passed,4,0,0,0,0,4
execveat03,0,passed,1,0,0,0,0,1
execvp01,0,passed,1,0,0,0,0,1
execvp01_child,2,broken,0,0,1,0,0,1
wait01,0,passed,1,0,0,0,0,1
wait02,0,passed,1,0,0,0,0,1
wait401,0,passed,3,0,0,0,0,3
wait402,0,passed,1,0,0,0,0,1
wait403,0,passed,1,0,0,0,0,1
waitid01,0,passed,5,0,0,0,0,5
waitid02,0,passed,1,0,0,0,0,1
waitid03,0,passed,1,0,0,0,0,1
waitid04,0,passed,2,0,0,0,0,2
waitid05,0,passed,6,0,0,0,0,6
waitid06,0,passed,6,0,0,0,0,6
waitid07,0,passed,5,0,0,0,0,5
waitid08,0,passed,10,0,0,0,0,10
waitid09,0,passed,1,0,0,0,0,1
waitid10,0,passed,5,0,0,0,0,5
waitid11,0,passed,5,0,0,0,0,5
waitpid01,0,passed,126,0,0,2,0,128
waitpid03,0,passed,2,0,0,0,0,2
waitpid04,0,passed,4,0,0,0,0,4
waitpid06,0,passed,1,0,0,0,0,1
waitpid07,0,passed,1,0,0,0,0,1
waitpid08,0,passed,1,0,0,0,0,1
waitpid09,0,passed,4,0,0,0,0,4
waitpid10,0,passed,1,0,0,0,0,1
waitpid11,0,passed,1,0,0,0,0,1
waitpid12,0,passed,1,0,0,0,0,1
waitpid13,0,passed,1,0,0,0,0,1
setegid01,0,passed,4,0,0,0,0,4
setegid02,0,passed,1,0,0,0,0,1
setfsgid01,0,passed,2,0,0,0,0,2
setfsgid02,0,passed,4,0,0,0,0,4
setfsuid01,0,passed,2,0,0,0,0,2
setfsuid02,0,passed,1,0,0,0,0,1
setfsuid03,0,passed,1,0,0,0,0,1
setgid01,0,passed,1,0,0,0,0,1
setgid02,0,passed,1,0,0,0,0,1
setgid03,0,passed,2,0,0,0,0,2
setgroups01,0,passed,1,0,0,0,0,1
setgroups02,0,passed,3,0,0,0,0,3
setgroups03,0,passed,3,0,0,0,0,3
setpgid02,0,passed,3,0,0,0,0,3
setpgrp02,0,passed,2,0,0,0,0,2
setregid01,0,passed,5,0,0,0,0,5
setregid02,0,passed,12,0,0,0,0,12
setregid03,0,passed,22,0,0,0,0,22
setregid04,0,passed,9,0,0,0,0,9
setresgid02,0,passed,6,0,0,0,0,6
setresgid03,0,passed,4,0,0,0,0,4
setresuid01,0,passed,9,0,0,0,0,9
setresuid02,0,passed,4,0,0,0,0,4
setresuid03,0,passed,3,0,0,0,0,3
setresuid04,0,passed,3,0,0,0,0,3
setresuid05,0,passed,2,0,0,0,0,2
setreuid01,0,passed,7,0,0,0,0,7
setreuid02,0,passed,7,0,0,0,0,7
setreuid03,0,passed,14,0,0,0,0,14
setreuid04,0,passed,3,0,0,0,0,3
setreuid05,0,passed,14,0,0,0,0,14
setreuid06,0,passed,3,0,0,0,0,3
setreuid07,0,passed,3,0,0,0,0,3
setuid01,0,passed,1,0,0,0,0,1
setuid03,0,passed,1,0,0,0,0,1
setuid04,0,passed,2,0,0,0,0,2
getpriority02,0,passed,4,0,0,0,0,4
getrlimit01,0,passed,16,0,0,0,0,16
getrlimit02,0,passed,2,0,0,0,0,2
getrlimit03,0,passed,16,0,0,0,0,16
mallinfo01,0,passed,2,0,0,0,0,2
mallinfo02,0,passed,2,0,0,0,0,2
mallopt01,0,passed,5,0,0,0,0,5
nice01,0,passed,3,0,0,0,0,3
nice02,0,passed,1,0,0,0,0,1
nice03,0,passed,1,0,0,0,0,1
nice04,0,passed,1,0,0,0,0,1
sched_get_priority_max01,0,passed,6,0,0,0,0,6
sched_get_priority_max02,0,passed,1,0,0,0,0,1
sched_get_priority_min01,0,passed,6,0,0,0,0,6
sched_get_priority_min02,0,passed,1,0,0,0,0,1
sched_getaffinity01,0,passed,4,0,0,0,0,4
sched_getparam01,0,passed,4,0,0,0,0,4
sched_getparam03,0,passed,6,0,0,0,0,6
sched_getscheduler01,0,passed,6,0,0,0,0,6
sched_getscheduler02,0,passed,2,0,0,0,0,2
sched_rr_get_interval01,0,passed,6,0,0,0,0,6
sched_rr_get_interval02,0,passed,2,0,0,0,0,2
sched_rr_get_interval03,0,passed,5,0,0,1,0,6
sched_setaffinity01,0,passed,4,0,0,0,0,4
sched_setparam01,0,passed,2,0,0,0,0,2
sched_setparam02,0,passed,6,0,0,0,0,6
sched_setparam03,0,passed,2,0,0,0,0,2
sched_setparam04,0,passed,8,0,0,0,0,8
sched_setparam05,0,passed,2,0,0,0,0,2
sched_setscheduler01,0,passed,8,0,0,0,0,8
sched_setscheduler03,0,passed,6,0,0,0,0,6
sched_setscheduler04,0,passed,8,0,0,0,0,8
sched_yield01,0,passed,1,0,0,0,0,1
setpriority01,0,passed,3,0,0,0,0,3
setpriority02,1,failed,5,2,0,0,0,7
setrlimit02,0,passed,2,0,0,0,0,2
setrlimit04,0,passed,1,0,0,0,0,1
setrlimit05,0,passed,1,0,0,0,0,1
brk01,0,passed,2,0,0,0,0,2
brk02,0,passed,2,0,0,0,0,2
clone01,0,passed,2,0,0,0,0,2
clone02,0,passed,2,0,0,0,0,2
clone03,0,passed,1,0,0,0,0,1
clone04,0,passed,1,0,0,0,0,1
clone05,0,passed,1,0,0,0,0,1
clone06,0,passed,1,0,0,0,0,1
clone07,0,passed,1,0,0,0,0,1
clone08,0,passed,5,0,0,0,0,5
clone09,0,passed,1,0,0,0,0,1
clone301,0,passed,7,0,0,0,0,7
clone302,0,passed,12,0,0,0,0,12
clone303,0,passed,1,0,0,0,0,1
dirtypipe,0,passed,1,0,0,0,0,1
futex_cmp_requeue01,0,passed,7,0,0,0,0,7
futex_cmp_requeue02,0,passed,3,0,0,0,0,3
futex_wait01,0,passed,4,0,0,0,0,4
futex_wait02,0,passed,1,0,0,0,0,1
futex_wait03,0,passed,1,0,0,0,0,1
futex_wait04,0,passed,1,0,0,0,0,1
futex_wait05,0,passed,7,0,0,0,0,7
futex_wait_bitset01,0,passed,2,0,0,0,0,2
futex_wake01,0,passed,6,0,0,0,0,6
futex_wake03,0,passed,11,0,0,0,0,11
madvise01,0,passed,20,0,0,0,0,20
madvise02,0,passed,10,0,0,3,0,13
madvise05,0,passed,1,0,0,0,0,1
madvise10,0,passed,12,0,0,0,0,12
memfd_create01,0,passed,157,0,0,0,0,157
memfd_create02,0,passed,14,0,0,0,0,14
mlock01,0,passed,4,0,0,0,0,4
mlock02,0,passed,3,0,0,0,0,3
mlock03,0,passed,1,0,0,0,0,1
mlock04,0,passed,1,0,0,0,0,1
mmap001,0,passed,4,0,0,0,0,4
mmap01,0,passed,1,0,0,0,0,1
mmap02,0,passed,1,0,0,0,0,1
mmap03,0,empty,0,0,0,0,0,0
mmap04,0,passed,14,0,0,0,0,14
mmap05,0,passed,1,0,0,0,0,1
mmap06,0,passed,8,0,0,0,0,8
mmap08,0,passed,1,0,0,0,0,1
mmap09,0,passed,3,0,0,0,0,3
mmap1,-124,timeout,0,0,0,0,0,0
mmap10,0,empty,0,0,0,0,0,0
mmap11,0,passed,1,0,0,0,0,1
mmap12,0,passed,1,0,0,0,0,1
mmap13,0,passed,1,0,0,0,0,1
